,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
10/19/2022,Kobi,474237,17.2,3/23/2022,210,7.00,Canine,BPV,108,BPV,108,N,0.18,0.05,14,0.54,n/a,13,NB,704,11.73,6.80
10/19/2022,Augie,216884,9.3,2/14/2017,2073,69.10,Canine,PV stent,100,PV stent,100,N,5.73,0.02,67,1.2,0.57,50,5000,1529,25.48,15.47
10/26/2022,Percy,478856,16.9,6/3/2019,1241,41.37,Canine,PDA,136,PDA,136,N,9.96,0.56,48.36,2.1,10.95,88.04,1970,1106,18.43,23.65
11/2/2022,Muffin ,479347,4.4,5/20/2020,896,29.87,Canine,PDA,135,PDA,135,N,0.12,NB,19.97,0.26,0.31,1.22,NB,421,7.02,0.85
11/9/2022,Dot ,479278,5,4/7/2022,216,7.20,Canine,PDA,120,PDA,120,N,1.51,0.01,3.64,1.38,3.99,3.97,NB,450,7.50,2.03
11/9/2022,Frankie,479955,7.3,8/21/2021,445,14.83,Canine,PV stent,108,PV stent,108,N,20.12,0.01,136.67,3.48,8.35,12.65,NB,1388,23.13,17.24
11/16/2022,Moriah,479651,43,1/26/2022,294,9.80,Canine,BPV,60,BPV,60,N,0.92,0.01,49.38,0.18,n/a,4.89,NB,466,7.77,12.64
11/16/2022,Fritz,480920,6.6,8/26/2017,1908,63.60,Canine,PMI,130,PMI,130,N,13.31,0.02,36.3,1.2,193,1.76,90,882,14.70,6.85
11/17/2022,Kip,480947,11,1/31/2012,3943,131.43,Canine,PMI,90,PMI,90,N,0.02,0.01,10.29,2.85,3.17,5.99,3.64,223,3.72,1.67
11/30/2022,Willow,479211,11.6,7/9/2021,509,16.97,Canine,BPV,85,BPV,85,N,0.03,0.03,17.72,0.84,n/a,21.46,106,710,11.83,4.07
12/7/2022,Lilly ,481617,9.4,12/16/2010,4374,145.80,Canine,PMI,160,PMI,160,N,9.29,0.01,18.33,n/a,11.49,14.13,10,1312,21.87,3.88
12/14/2022,JD,480127,13.7,7/7/2022,160,5.33,Canine,BPV,87,BPV,87,N,0.03,0.02,18.15,2.49,n/a,20,NB,477,7.95,4.55
